record_id,culti,temporada,lat,lon,planting,vegetative,harvest,endofseason,duration_vegetative,duration_hasta_cosecha,duration_total,outofseason,minimalpro,num_fases,fases_disponibles,country,region,crop_original
1,maize,2,10.53007037,-10.91320343,0,0,0,0,0,0,0,0,1,0,,Guinea,South,Maize 2
2,sorghum,2,10.53007037,-10.91320343,0,0,0,0,0,0,0,0,1,0,,Guinea,South,Sorghum 2
3,wheat,spring,10.53007037,-10.91320343,0,0,0,0,0,0,0,0,1,0,,Guinea,South,Spring Wheat
4,millet,1,10.53007037,-10.91320343,0,0,0,0,0,0,0,0,1,0,,Guinea,South,Millet 1
5,rice,1,10.53007037,-10.91320343,121,244,274,1,123,153,245,32,0,5,Siembra a vegetativa temprana | Vegetativa a reproductiva | Maduracion a cosecha | Fin de temporada | Fuera de temporada,Guinea,South,Rice 1
6,wheat,winter,10.53007037,-10.91320343,0,0,0,0,0,0,0,0,1,0,,Guinea,South,Winter Wheat
7,beans,3,10.53007037,-10.91320343,0,0,0,0,0,0,0,0,1,0,,Guinea,South,Beans 3
8,beans,2,10.53007037,-10.91320343,0,0,0,0,0,0,0,0,1,0,,Guinea,South,Beans 2
9,maize,1,10.53007037,-10.91320343,121,182,274,350,61,153,229,15,0,5,Siembra a vegetativa temprana | Vegetativa a reproductiva | Maduracion a cosecha | Fin de temporada | Fuera de temporada,Guinea,South,Maize 1
10,rice,3,10.53007037,-10.91320343,0,0,0,0,0,0,0,0,1,0,,Guinea,South,Rice 3
11,teff,1,10.53007037,-10.91320343,0,0,0,0,0,0,0,0,1,0,,Guinea,South,Teff 1
12,rice,2,10.53007037,-10.91320343,0,0,0,0,0,0,0,0,1,0,,Guinea,South,Rice 2
13,sorghum,1,10.53007037,-10.91320343,0,0,0,0,0,0,0,0,1,0,,Guinea,South,Sorghum 1
14,beans,1,10.53007037,-10.91320343,0,0,0,0,0,0,0,0,1,0,,Guinea,South,Beans 1
15,beans,3,36.09854651,44.5093902,0,0,0,0,0,0,0,0,1,0,,Iraq,Upper Zagros Mountains,Beans 3
16,wheat,spring,36.09854651,44.5093902,0,0,0,0,0,0,0,0,1,0,,Iraq,Upper Zagros Mountains,Spring Wheat
17,beans,1,36.09854651,44.5093902,0,0,0,0,0,0,0,0,1,0,,Iraq,Upper Zagros Mountains,Beans 1
18,wheat,winter,36.09854651,44.5093902,305,350,136,182,45,196,242,213,0,5,Siembra a vegetativa temprana | Vegetativa a reproductiva | Maduracion a cosecha | Fin de temporada | Fuera de temporada,Iraq,Upper Zagros Mountains,Winter Wheat
19,sorghum,1,36.09854651,44.5093902,0,0,0,0,0,0,0,0,1,0,,Iraq,Upper Zagros Mountains,Sorghum 1
20,maize,1,36.09854651,44.5093902,0,0,0,0,0,0,0,0,1,0,,Iraq,Upper Zagros Mountains,Maize 1
21,beans,2,36.09854651,44.5093902,0,0,0,0,0,0,0,0,1,0,,Iraq,Upper Zagros Mountains,Beans 2
22,teff,1,36.09854651,44.5093902,0,0,0,0,0,0,0,0,1,0,,Iraq,Upper Zagros Mountains,Teff 1
23,maize,2,36.09854651,44.5093902,0,0,0,0,0,0,0,0,1,0,,Iraq,Upper Zagros Mountains,Maize 2
24,millet,1,36.09854651,44.5093902,0,0,0,0,0,0,0,0,1,0,,Iraq,Upper Zagros Mountains,Millet 1
25,rice,2,36.09854651,44.5093902,0,0,0,0,0,0,0,0,1,0,,Iraq,Upper Zagros Mountains,Rice 2
26,sorghum,2,36.09854651,44.5093902,0,0,0,0,0,0,0,0,1,0,,Iraq,Upper Zagros Mountains,Sorghum 2
