lat,lon,años_validos,gap,longest_run,cluster_raw,cluster,std
-41.25,286.75,34,2,33,0.0,3.0,2.6035824
-40.75,286.75,34,2,33,0.0,3.0,2.5764205
-40.75,287.25,34,2,33,0.0,3.0,2.5522227
-40.75,296.75,34,2,33,0.0,3.0,0.31664297
-40.25,286.75,34,2,33,0.0,3.0,2.2888806
-40.25,287.25,35,1,35,0.0,3.0,3.283823
-40.25,287.75,34,2,33,0.0,3.0,2.5068288
-40.25,297.25,34,2,33,0.0,3.0,0.28871894
-39.75,287.25,34,2,33,0.0,3.0,2.6178906
-39.75,294.25,34,2,33,0.0,3.0,0.37619156
-39.75,297.25,34,2,33,0.0,3.0,0.4842417
-39.25,293.75,34,2,33,0.0,3.0,0.3637451
-39.25,294.25,34,2,33,0.0,3.0,0.32548922
-39.25,296.75,34,2,33,0.0,3.0,0.37618974
-39.25,297.25,34,2,33,0.0,3.0,0.43348584
-38.75,291.75,34,2,33,0.0,3.0,0.43292034
-38.75,296.75,35,1,35,0.0,3.0,0.52605826
-38.75,297.25,34,2,33,0.0,3.0,0.4644371
-38.75,298.75,34,2,33,0.0,3.0,0.4764924
-38.25,295.75,34,2,33,0.0,3.0,0.5276744
-38.25,296.25,34,2,33,0.0,3.0,0.46684834
-38.25,296.75,34,2,33,0.0,3.0,0.4420774
-38.25,297.25,34,2,33,0.0,3.0,0.6257275
-38.25,297.75,34,2,33,0.0,3.0,0.58268094
-38.25,298.25,34,2,33,0.0,3.0,0.58375144
-38.25,298.75,34,2,33,0.0,3.0,0.5870721
-38.25,299.25,35,1,35,0.0,3.0,0.62465143
-38.25,299.75,35,1,35,0.0,3.0,0.55317557
-38.25,300.25,34,2,33,0.0,3.0,0.47247976
-38.25,300.75,35,1,35,0.0,3.0,0.536148
-38.25,301.25,34,2,33,0.0,3.0,0.59341437
-37.75,286.75,34,2,33,0.0,3.0,2.4313838
-37.75,287.25,34,2,33,0.0,3.0,1.9970046
