lat,lon,años_validos,gap,longest_run,cluster_raw,cluster,std
-19.25,310.25,36,0,36,1.0,3.0,0.1813951
-18.75,306.75,36,0,36,1.0,3.0,0.18756235
1.25,282.25,36,0,36,1.0,3.0,0.25924098
1.25,285.75,36,0,36,1.0,3.0,0.22042497
1.75,282.25,36,0,36,1.0,3.0,0.3805922
1.75,285.25,36,0,36,1.0,3.0,0.2479709
1.75,285.75,36,0,36,1.0,3.0,0.21946242
1.75,286.25,36,0,36,1.0,3.0,0.23290254
2.25,282.75,36,0,36,1.0,3.0,0.22669417
2.25,283.25,36,0,36,1.0,3.0,0.20764005
2.25,285.25,36,0,36,1.0,3.0,0.25217944
2.25,285.75,36,0,36,1.0,3.0,0.275813
2.25,286.25,36,0,36,1.0,3.0,0.2552638
2.25,286.75,36,0,36,1.0,3.0,0.29490146
2.25,287.25,36,0,36,1.0,3.0,0.2383079
2.75,283.25,36,0,36,1.0,3.0,0.24036913
2.75,283.75,36,0,36,1.0,3.0,0.23156147
2.75,285.25,36,0,36,1.0,3.0,0.2984806
2.75,285.75,36,0,36,1.0,3.0,0.3109228
2.75,286.25,36,0,36,1.0,3.0,0.24812716
2.75,286.75,36,0,36,1.0,3.0,0.21681242
2.75,287.25,36,0,36,1.0,3.0,0.21758826
2.75,287.75,36,0,36,1.0,3.0,0.19665869
2.75,288.25,36,0,36,1.0,3.0,0.26356733
3.25,283.25,36,0,36,1.0,3.0,0.2443844
3.25,283.75,36,0,36,1.0,3.0,0.22623903
3.25,285.25,36,0,36,1.0,3.0,0.2956577
3.25,285.75,36,0,36,1.0,3.0,0.23023021
3.25,286.25,36,0,36,1.0,3.0,0.19424273
3.25,286.75,36,0,36,1.0,3.0,0.19360179
3.25,287.25,36,0,36,1.0,3.0,0.16695312
3.25,287.75,36,0,36,1.0,3.0,0.17571014
3.25,288.25,36,0,36,1.0,3.0,0.2280907
3.25,288.75,36,0,36,1.0,3.0,0.25366572
3.75,283.25,36,0,36,1.0,3.0,0.18295681
3.75,285.75,36,0,36,1.0,3.0,0.22964934
3.75,286.25,36,0,36,1.0,3.0,0.18661821
3.75,286.75,36,0,36,1.0,3.0,0.19154081
3.75,287.25,36,0,36,1.0,3.0,0.21194094
3.75,287.75,36,0,36,1.0,3.0,0.25107023
3.75,288.25,36,0,36,1.0,3.0,0.21218975
3.75,288.75,36,0,36,1.0,3.0,0.17711708
4.25,283.75,36,0,36,1.0,3.0,0.21368739
4.25,284.25,36,0,36,1.0,3.0,0.23647672
4.25,286.25,36,0,36,1.0,3.0,0.22869268
4.25,286.75,36,0,36,1.0,3.0,0.20487039
4.25,287.25,36,0,36,1.0,3.0,0.19549966
4.25,287.75,36,0,36,1.0,3.0,0.15308635
4.25,288.25,36,0,36,1.0,3.0,0.19842152
4.75,283.75,36,0,36,1.0,3.0,0.22228523
4.75,284.25,36,0,36,1.0,3.0,0.25771812
4.75,288.25,36,0,36,1.0,3.0,0.16138259
4.75,288.75,36,0,36,1.0,3.0,0.19828019
5.25,8.25,36,0,36,1.0,3.0,0.13882731
5.25,8.75,36,0,36,1.0,3.0,0.14096923
5.25,284.25,36,0,36,1.0,3.0,0.28632903
5.25,284.75,36,0,36,1.0,3.0,0.24129276
5.25,285.25,36,0,36,1.0,3.0,0.27800852
5.75,7.25,36,0,36,1.0,3.0,0.12560338
5.75,7.75,36,0,36,1.0,3.0,0.12935959
5.75,8.25,36,0,36,1.0,3.0,0.13147604
5.75,8.75,36,0,36,1.0,3.0,0.1765773
5.75,284.25,36,0,36,1.0,3.0,0.2618406
5.75,284.75,36,0,36,1.0,3.0,0.25255466
5.75,285.25,36,0,36,1.0,3.0,0.28115815
6.25,8.75,36,0,36,1.0,3.0,0.15833011
6.25,9.25,36,0,36,1.0,3.0,0.14648165
6.25,284.75,36,0,36,1.0,3.0,0.28192002
6.75,8.75,36,0,36,1.0,3.0,0.12513292
6.75,9.25,36,0,36,1.0,3.0,0.14984599
6.75,9.75,36,0,36,1.0,3.0,0.14479072
6.75,10.25,36,0,36,1.0,3.0,0.20513992
6.75,10.75,36,0,36,1.0,3.0,0.18497695
6.75,11.75,36,0,36,1.0,3.0,0.16079478
7.25,6.75,36,0,36,1.0,3.0,0.13219869
7.25,7.25,36,0,36,1.0,3.0,0.13140343
7.25,8.25,36,0,36,1.0,3.0,0.13403755
7.25,9.75,36,0,36,1.0,3.0,0.15178327
7.25,10.25,36,0,36,1.0,3.0,0.1808229
7.25,10.75,36,0,36,1.0,3.0,0.19760066
7.25,11.25,36,0,36,1.0,3.0,0.19719099
7.25,11.75,36,0,36,1.0,3.0,0.19126126
7.25,286.25,36,0,36,1.0,3.0,0.26734564
7.75,6.75,36,0,36,1.0,3.0,0.12604672
7.75,7.25,36,0,36,1.0,3.0,0.15075916
7.75,7.75,36,0,36,1.0,3.0,0.13247389
7.75,8.25,36,0,36,1.0,3.0,0.1434237
7.75,10.25,36,0,36,1.0,3.0,0.17706528
7.75,10.75,36,0,36,1.0,3.0,0.19176684
7.75,11.25,36,0,36,1.0,3.0,0.2043854
7.75,11.75,36,0,36,1.0,3.0,0.12941475
7.75,12.25,36,0,36,1.0,3.0,0.20454238
7.75,284.25,36,0,36,1.0,3.0,0.2627691
