lat,lon,años_validos,gap,longest_run,cluster_raw,cluster,std
-38.75,287.25,34,2,33,1.0,3.0,0.5881662
-38.25,287.25,34,2,33,1.0,3.0,0.5801968
-38.25,287.75,34,2,33,1.0,3.0,0.6755192
-37.75,286.75,34,2,33,1.0,3.0,0.8206185
-37.75,287.25,34,2,33,1.0,3.0,0.7834574
-37.75,287.75,34,2,33,1.0,3.0,0.87969255
-37.75,288.25,34,2,33,1.0,3.0,0.91930044
-37.25,287.25,34,2,33,1.0,3.0,0.71475875
-37.25,287.75,34,2,33,1.0,3.0,0.7551039
-37.25,288.25,34,2,33,1.0,3.0,0.6163986
-36.75,287.75,34,2,33,1.0,3.0,0.62064815
-36.75,288.25,35,1,35,1.0,3.0,0.62898093
-36.75,288.75,34,2,33,1.0,3.0,0.8173987
-36.25,144.75,34,2,33,1.0,3.0,2.562326
-36.25,146.25,34,2,33,1.0,3.0,3.855696
-36.25,146.75,34,2,33,1.0,3.0,1.4995304
-36.25,147.25,34,2,33,1.0,3.0,1.4284627
-36.25,147.75,34,2,33,1.0,3.0,0.25241476
-36.25,287.75,35,1,35,1.0,3.0,0.577626
-36.25,288.25,35,1,35,1.0,3.0,0.6953418
-35.75,144.25,34,2,33,1.0,3.0,1.001872
-35.75,144.75,34,2,33,1.0,3.0,1.25672
-35.75,145.25,34,2,33,1.0,3.0,2.3188434
-35.75,145.75,34,2,33,1.0,3.0,2.6243389
-35.75,146.25,34,2,33,1.0,3.0,2.4851022
-35.75,146.75,34,2,33,1.0,3.0,2.7690604
-35.75,147.25,34,2,33,1.0,3.0,1.8010724
-35.75,147.75,34,2,33,1.0,3.0,0.24458894
-35.75,148.25,34,2,33,1.0,3.0,0.64149606
-35.75,287.75,34,2,33,1.0,3.0,0.23660158
-35.75,288.25,35,1,35,1.0,3.0,0.53276527
-35.75,288.75,34,2,33,1.0,3.0,0.6030337
-35.25,143.25,34,2,33,1.0,3.0,1.5811698
-35.25,143.75,34,2,33,1.0,3.0,1.4207047
-35.25,144.25,34,2,33,1.0,3.0,1.193351
-35.25,144.75,34,2,33,1.0,3.0,1.5654737
-35.25,145.25,34,2,33,1.0,3.0,1.6530132
-35.25,145.75,34,2,33,1.0,3.0,1.6611223
-35.25,146.25,34,2,33,1.0,3.0,1.4811492
-35.25,146.75,34,2,33,1.0,3.0,2.1645117
-35.25,147.25,34,2,33,1.0,3.0,2.7340128
-35.25,147.75,34,2,33,1.0,3.0,1.5736855
-35.25,148.25,34,2,33,1.0,3.0,0.7666968
-35.25,288.25,34,2,33,1.0,3.0,0.40679204
-35.25,288.75,34,2,33,1.0,3.0,0.59393626
-35.25,289.25,34,2,33,1.0,3.0,0.66397095
-34.75,142.25,34,2,33,1.0,3.0,4.5869355
-34.75,142.75,34,2,33,1.0,3.0,1.3353794
-34.75,143.25,34,2,33,1.0,3.0,0.85304815
-34.75,143.75,34,2,33,1.0,3.0,0.95458907
-34.75,144.25,34,2,33,1.0,3.0,1.0655841
-34.75,144.75,34,2,33,1.0,3.0,1.3428953
-34.75,145.25,34,2,33,1.0,3.0,1.7203225
-34.75,145.75,34,2,33,1.0,3.0,1.3515155
-34.75,146.25,34,2,33,1.0,3.0,1.342532
-34.75,146.75,34,2,33,1.0,3.0,1.5954217
-34.75,147.25,34,2,33,1.0,3.0,2.3520432
-34.75,147.75,34,2,33,1.0,3.0,2.5897639
-34.75,148.25,34,2,33,1.0,3.0,2.3160918
-34.75,148.75,34,2,33,1.0,3.0,1.9213057
-34.75,288.25,35,1,35,1.0,3.0,0.3884161
-34.75,288.75,35,1,35,1.0,3.0,0.54428875
-34.75,289.25,35,1,35,1.0,3.0,0.60841644
-34.25,141.25,34,2,33,1.0,3.0,1.2801297
-34.25,142.25,34,2,33,1.0,3.0,1.1023377
-34.25,142.75,34,2,33,1.0,3.0,0.7302241
-34.25,143.25,34,2,33,1.0,3.0,0.9370049
-34.25,143.75,34,2,33,1.0,3.0,1.4985169
