pixel_id,lat_idx,lon_idx,som_x,som_y,label
0,116,615,0,0,0
1,117,614,0,0,0
2,119,616,0,0,0
3,120,615,0,0,0
4,121,609,0,0,0
5,121,612,0,2,2
6,121,619,0,0,0
7,130,616,0,1,1
8,131,613,0,0,0
9,131,615,0,0,0
10,131,619,0,2,2
11,132,619,0,2,2
12,134,609,0,0,0
13,139,623,0,2,2
14,139,635,0,2,2
15,139,637,0,2,2
16,140,616,0,0,0
17,141,610,0,0,0
18,144,613,0,2,2
19,144,624,0,2,2
20,145,626,0,0,0
21,146,633,0,2,2
22,150,605,0,0,0
23,150,632,0,0,0
24,155,616,1,1,4
25,157,601,1,1,4
26,157,602,0,1,1
27,160,605,1,0,3
28,164,221,0,0,0
29,164,222,0,0,0
30,164,223,0,0,0
31,164,224,1,2,5
32,165,215,0,0,0
33,165,216,0,0,0
34,165,217,0,0,0
35,165,218,0,0,0
36,165,219,0,0,0
37,165,220,0,0,0
38,165,221,0,2,2
39,165,222,0,2,2
40,165,223,0,2,2
41,165,224,1,2,5
42,166,213,0,0,0
43,166,214,0,0,0
44,166,215,0,0,0
45,166,216,0,0,0
46,167,212,0,0,0
47,167,214,0,0,0
48,169,209,0,0,0
49,169,239,1,0,3
50,173,239,1,2,5
51,174,206,0,1,1
52,174,238,0,1,1
53,174,239,1,0,3
54,174,243,1,0,3
55,175,206,0,1,1
56,175,239,1,2,5
57,175,240,1,0,3
58,175,241,1,0,3
59,176,33,0,1,1
60,177,207,0,1,1
61,178,44,1,0,3
62,180,48,1,0,3
63,180,49,1,0,3
64,180,50,0,0,0
65,181,48,0,0,0
66,181,50,1,0,3
67,181,59,1,0,3
68,181,60,0,0,0
69,182,36,0,0,0
70,182,47,1,0,3
71,182,59,0,0,0
72,182,60,0,0,0
73,182,201,0,1,1
74,183,43,1,0,3
75,183,45,0,0,0
76,183,59,1,2,5
77,183,60,0,1,1
78,183,61,1,0,3
79,183,199,0,1,1
80,183,607,1,0,3
81,183,608,0,0,0
82,184,40,1,0,3
83,184,44,1,0,3
84,184,45,0,0,0
85,184,61,0,0,0
86,184,62,0,0,0
87,184,608,0,0,0
88,185,37,0,1,1
89,185,38,0,0,0
90,185,39,1,0,3
91,185,40,0,0,0
92,185,45,1,0,3
93,185,49,1,0,3
94,185,55,0,1,1
95,185,60,1,0,3
96,185,61,1,2,5
97,186,37,0,1,1
98,186,38,0,1,1
99,186,39,1,0,3
100,186,40,0,1,1
101,186,41,0,1,1
102,186,60,0,1,1
103,186,61,0,0,0
104,187,37,0,1,1
105,187,38,0,1,1
106,187,39,1,0,3
107,187,40,1,0,3
108,187,41,0,1,1
109,187,44,0,0,0
110,187,45,0,0,0
111,187,52,0,0,0
112,187,53,0,0,0
113,187,54,1,2,5
114,187,55,0,0,0
115,187,58,0,0,0
116,188,21,0,2,2
117,188,22,0,2,2
118,188,23,0,2,2
119,188,24,0,2,2
120,188,34,1,1,4
121,188,35,1,1,4
122,188,36,1,1,4
123,188,37,1,0,3
124,188,38,0,1,1
125,188,39,0,1,1
126,188,40,1,0,3
127,188,41,0,0,0
128,188,42,0,1,1
129,188,43,0,0,0
130,188,50,1,0,3
131,188,52,0,0,0
132,188,231,1,2,5
133,189,12,1,0,3
